asn=0    	id=-1  	Main	copying configuration file /home/tegsingh/RR/tsch-sim/examples/hierarchical/config.json to output directory /home/tegsingh/RR/tsch-sim/results/2021-07-29_22-16-43/config.json[MAIN]
asn=0    	id=3   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=3   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=3   	Node	Slotframe added [NODE]
asn=0    	id=3   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=3   	Node	Slotframe added [NODE]
asn=0    	id=3   	TSCH	Orchestra: initialization done
asn=0    	id=3   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=3   	Node	update time source called [NODE]
asn=0    	id=3   	Main	Local repair method called from NullRouting
asn=0    	id=3   	Node	scanning on channel=26...[NODE]
asn=0    	id=4   	TSCH	Orchestra: *** initializing
asn=0    	id=4   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=4   	Node	Slotframe added [NODE]
asn=0    	id=4   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=4   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=4   	Node	Slotframe added [NODE]
asn=0    	id=4   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=4   	Node	Slotframe added [NODE]
asn=0    	id=4   	TSCH	Orchestra: initialization done
asn=0    	id=4   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=4   	Node	update time source called [NODE]
asn=0    	id=4   	Main	Local repair method called from NullRouting
asn=0    	id=4   	Node	scanning on channel=26...[NODE]
asn=0    	id=5   	TSCH	Orchestra: *** initializing
asn=0    	id=5   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=5   	Node	Slotframe added [NODE]
asn=0    	id=5   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=5   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=5   	Node	Slotframe added [NODE]
asn=0    	id=5   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=5   	Node	Slotframe added [NODE]
asn=0    	id=5   	TSCH	Orchestra: initialization done
asn=0    	id=5   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=5   	Node	update time source called [NODE]
asn=0    	id=5   	Main	Local repair method called from NullRouting
asn=0    	id=5   	Node	scanning on channel=26...[NODE]
asn=0    	id=6   	TSCH	Orchestra: *** initializing
asn=0    	id=6   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=6   	Node	Slotframe added [NODE]
asn=0    	id=6   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=6   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=6   	Node	Slotframe added [NODE]
asn=0    	id=6   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=6   	Node	Slotframe added [NODE]
asn=0    	id=6   	TSCH	Orchestra: initialization done
asn=0    	id=6   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=6   	Node	update time source called [NODE]
asn=0    	id=6   	Main	Local repair method called from NullRouting
asn=0    	id=6   	Node	scanning on channel=26...[NODE]
asn=0    	id=7   	TSCH	Orchestra: *** initializing
asn=0    	id=7   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=7   	Node	Slotframe added [NODE]
asn=0    	id=7   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=7   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=7   	Node	Slotframe added [NODE]
asn=0    	id=7   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=7   	Node	Slotframe added [NODE]
asn=0    	id=7   	TSCH	Orchestra: initialization done
asn=0    	id=7   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=7   	Node	update time source called [NODE]
asn=0    	id=7   	Main	Local repair method called from NullRouting
asn=0    	id=7   	Node	scanning on channel=15...[NODE]
asn=0    	id=8   	TSCH	Orchestra: *** initializing
asn=0    	id=8   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=8   	Node	Slotframe added [NODE]
asn=0    	id=8   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=8   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=8   	Node	Slotframe added [NODE]
asn=0    	id=8   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=8   	Node	Slotframe added [NODE]
asn=0    	id=8   	TSCH	Orchestra: initialization done
asn=0    	id=8   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=8   	Node	update time source called [NODE]
asn=0    	id=8   	Main	Local repair method called from NullRouting
asn=0    	id=8   	Node	scanning on channel=20...[NODE]
asn=0    	id=9   	TSCH	Orchestra: *** initializing
asn=0    	id=9   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=9   	Node	Slotframe added [NODE]
asn=0    	id=9   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=9   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=9   	Node	Slotframe added [NODE]
asn=0    	id=9   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=9   	Node	Slotframe added [NODE]
asn=0    	id=9   	TSCH	Orchestra: initialization done
asn=0    	id=9   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=9   	Node	update time source called [NODE]
asn=0    	id=9   	Main	Local repair method called from NullRouting
asn=0    	id=9   	Node	scanning on channel=25...[NODE]
asn=0    	id=10  	TSCH	Orchestra: *** initializing
asn=0    	id=10  	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=10  	Node	Slotframe added [NODE]
asn=0    	id=10  	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=10  	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=10  	Node	Slotframe added [NODE]
asn=0    	id=10  	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=10  	Node	Slotframe added [NODE]
asn=0    	id=10  	TSCH	Orchestra: initialization done
asn=0    	id=10  	TSCH	Node has joined TSCH [NODE]
asn=0    	id=10  	Node	update time source called [NODE]
asn=0    	id=10  	Main	Local repair method called from NullRouting
asn=0    	id=10  	Node	scanning on channel=25...[NODE]
asn=1    	id=2   	Node	add neighbor id=1
asn=1    	id=2   	Node	Add_route called from ensure neighbor
asn=1    	id=2   	TSCH	joined/associated at 0.01 on receiving an EB packet from 1[NODE]
asn=1    	id=2   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1    	id=2   	Node	update time source called [NODE]
asn=1    	id=2   	Main	On new time source method called from NullRouting
asn=1    	id=2   	TSCH	Orchestra: new time source 1
asn=1    	id=2   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=2   	Node	Start method called from NullRouting for 2
asn=1    	id=2   	Node	File Read successfully
asn=1    	id=2   	Node	File loaded into struct successfully
asn=1    	id=2   	Node	Reading routes for Node 2
asn=1    	id=2   	Node	Destination = 5, Nexthop = 5
asn=1    	id=2   	Node	Route added to destination node id: 5 through next hop node id: 5 in the routing table of node: 2
asn=1    	id=2   	TSCH	Orchestra: child added 5
asn=1    	id=2   	TSCH	Orchestra: storing mode: add uc cell to 5, timeslot=5
asn=1    	id=2   	Node	Reading routes for Node 2
asn=1    	id=2   	Node	Destination = 6, Nexthop = 6
asn=1    	id=2   	Node	Route added to destination node id: 6 through next hop node id: 6 in the routing table of node: 2
asn=1    	id=2   	TSCH	Orchestra: child added 6
asn=1    	id=2   	TSCH	Orchestra: storing mode: add uc cell to 6, timeslot=6
asn=1    	id=1   	Main	On tx method called from NullRouting
asn=100  	id=6   	Node	scanning on channel=15...[NODE]
asn=100  	id=9   	Node	scanning on channel=26...[NODE]
asn=100  	id=10  	Node	scanning on channel=20...[NODE]
asn=100  	id=3   	Node	scanning on channel=20...[NODE]
asn=100  	id=4   	Node	scanning on channel=25...[NODE]
asn=100  	id=5   	Node	scanning on channel=25...[NODE]
asn=200  	id=4   	Node	scanning on channel=20...[NODE]
asn=200  	id=5   	Node	scanning on channel=15...[NODE]
asn=200  	id=8   	Node	scanning on channel=26...[NODE]
asn=200  	id=7   	Node	scanning on channel=26...[NODE]
asn=200  	id=6   	Node	scanning on channel=26...[NODE]
asn=200  	id=3   	Node	scanning on channel=26...[NODE]
asn=301  	id=10  	Node	scanning on channel=26...[NODE]
asn=301  	id=9   	Node	scanning on channel=25...[NODE]
asn=301  	id=8   	Node	scanning on channel=25...[NODE]
asn=301  	id=5   	Node	scanning on channel=26...[NODE]
asn=301  	id=4   	Node	scanning on channel=25...[NODE]
asn=301  	id=3   	Node	scanning on channel=20...[NODE]
asn=301  	id=6   	Node	scanning on channel=20...[NODE]
asn=301  	id=7   	Node	scanning on channel=15...[NODE]
asn=402  	id=6   	Node	scanning on channel=26...[NODE]
asn=402  	id=7   	Node	scanning on channel=26...[NODE]
asn=402  	id=9   	Node	scanning on channel=20...[NODE]
asn=402  	id=3   	Node	scanning on channel=15...[NODE]
asn=402  	id=4   	Node	scanning on channel=26...[NODE]
asn=503  	id=4   	Node	scanning on channel=25...[NODE]
asn=503  	id=5   	Node	scanning on channel=20...[NODE]
asn=503  	id=8   	Node	scanning on channel=26...[NODE]
asn=503  	id=7   	Node	scanning on channel=20...[NODE]
asn=503  	id=6   	Node	scanning on channel=25...[NODE]
asn=503  	id=3   	Node	scanning on channel=25...[NODE]
asn=503  	id=10  	Node	scanning on channel=20...[NODE]
asn=503  	id=9   	Node	scanning on channel=15...[NODE]
asn=604  	id=10  	Node	scanning on channel=26...[NODE]
asn=604  	id=9   	Node	scanning on channel=26...[NODE]
asn=604  	id=8   	Node	scanning on channel=20...[NODE]
asn=604  	id=4   	Node	scanning on channel=26...[NODE]
asn=604  	id=6   	Node	scanning on channel=15...[NODE]
asn=604  	id=7   	Node	scanning on channel=26...[NODE]
asn=705  	id=7   	Node	scanning on channel=20...[NODE]
asn=705  	id=8   	Node	scanning on channel=25...[NODE]
asn=705  	id=9   	Node	scanning on channel=20...[NODE]
asn=705  	id=10  	Node	scanning on channel=25...[NODE]
asn=705  	id=3   	Node	scanning on channel=26...[NODE]
asn=705  	id=4   	Node	scanning on channel=15...[NODE]
asn=705  	id=5   	Node	scanning on channel=15...[NODE]
asn=806  	id=8   	Node	scanning on channel=20...[NODE]
asn=806  	id=7   	Node	scanning on channel=25...[NODE]
asn=806  	id=6   	Node	scanning on channel=20...[NODE]
asn=806  	id=10  	Node	scanning on channel=26...[NODE]
asn=806  	id=9   	Node	scanning on channel=25...[NODE]
asn=907  	id=9   	Node	scanning on channel=20...[NODE]
asn=907  	id=10  	Node	scanning on channel=20...[NODE]
asn=907  	id=8   	Node	scanning on channel=25...[NODE]
asn=907  	id=5   	Node	scanning on channel=20...[NODE]
asn=907  	id=4   	Node	scanning on channel=26...[NODE]
asn=907  	id=6   	Node	scanning on channel=15...[NODE]
asn=1008 	id=7   	Node	scanning on channel=20...[NODE]
asn=1008 	id=8   	Node	scanning on channel=15...[NODE]
asn=1008 	id=10  	Node	scanning on channel=26...[NODE]
asn=1008 	id=5   	Node	scanning on channel=25...[NODE]
asn=1109 	id=4   	Node	scanning on channel=20...[NODE]
asn=1109 	id=5   	Node	scanning on channel=26...[NODE]
asn=1109 	id=8   	Node	scanning on channel=25...[NODE]
asn=1109 	id=7   	Node	scanning on channel=15...[NODE]
asn=1109 	id=6   	Node	scanning on channel=25...[NODE]
asn=1109 	id=3   	Node	scanning on channel=20...[NODE]
asn=1109 	id=9   	Node	scanning on channel=25...[NODE]
asn=1109 	id=10  	Node	scanning on channel=20...[NODE]
asn=1193 	id=6   	Node	add neighbor id=2
asn=1193 	id=6   	Node	Add_route called from ensure neighbor
asn=1193 	id=6   	TSCH	joined/associated at 11.93 on receiving an EB packet from 2[NODE]
asn=1193 	id=6   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1193 	id=6   	Node	update time source called [NODE]
asn=1193 	id=6   	Main	On new time source method called from NullRouting
asn=1193 	id=6   	TSCH	Orchestra: new time source 2
asn=1193 	id=6   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=1193 	id=6   	Node	Start method called from NullRouting for 6
asn=1193 	id=6   	Node	File Read successfully
asn=1193 	id=6   	Node	File loaded into struct successfully
asn=1193 	id=8   	Node	add neighbor id=2
asn=1193 	id=8   	Node	Add_route called from ensure neighbor
asn=1193 	id=8   	TSCH	joined/associated at 11.93 on receiving an EB packet from 2[NODE]
asn=1193 	id=8   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1193 	id=8   	Node	update time source called [NODE]
asn=1193 	id=8   	Main	On new time source method called from NullRouting
asn=1193 	id=8   	TSCH	Orchestra: new time source 2
asn=1193 	id=8   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=1193 	id=8   	Node	Start method called from NullRouting for 8
asn=1193 	id=8   	Node	File Read successfully
asn=1193 	id=8   	Node	File loaded into struct successfully
asn=1193 	id=9   	Node	add neighbor id=2
asn=1193 	id=9   	Node	Add_route called from ensure neighbor
asn=1193 	id=9   	TSCH	joined/associated at 11.93 on receiving an EB packet from 2[NODE]
asn=1193 	id=9   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=1193 	id=9   	Node	update time source called [NODE]
asn=1193 	id=9   	Main	On new time source method called from NullRouting
asn=1193 	id=9   	TSCH	Orchestra: new time source 2
asn=1193 	id=9   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=1193 	id=9   	Node	Start method called from NullRouting for 9
asn=1193 	id=9   	Node	File Read successfully
asn=1193 	id=9   	Node	File loaded into struct successfully
asn=1193 	id=2   	Main	On tx method called from NullRouting
asn=1210 	id=5   	Node	scanning on channel=20...[NODE]
asn=1210 	id=4   	Node	scanning on channel=25...[NODE]
asn=1210 	id=10  	Node	scanning on channel=26...[NODE]
asn=1210 	id=7   	Node	scanning on channel=25...[NODE]
asn=1311 	id=3   	Node	scanning on channel=25...[NODE]
asn=1311 	id=7   	Node	scanning on channel=15...[NODE]
asn=1311 	id=4   	Node	scanning on channel=20...[NODE]
asn=1311 	id=5   	Node	scanning on channel=15...[NODE]
asn=1412 	id=4   	Node	scanning on channel=15...[NODE]
asn=1412 	id=5   	Node	scanning on channel=26...[NODE]
asn=1412 	id=7   	Node	scanning on channel=25...[NODE]
asn=1412 	id=3   	Node	scanning on channel=15...[NODE]
asn=1513 	id=3   	Node	scanning on channel=20...[NODE]
asn=1513 	id=7   	Node	scanning on channel=20...[NODE]
asn=1513 	id=10  	Node	scanning on channel=25...[NODE]
asn=1513 	id=5   	Node	scanning on channel=25...[NODE]
asn=1513 	id=4   	Node	scanning on channel=20...[NODE]
asn=1589 	id=1   	Main	On tx method called from NullRouting
asn=1613 	id=4   	Node	scanning on channel=25...[NODE]
asn=1613 	id=10  	Node	scanning on channel=15...[NODE]
asn=1613 	id=7   	Node	scanning on channel=15...[NODE]
asn=1613 	id=3   	Node	scanning on channel=25...[NODE]
asn=1713 	id=7   	Node	scanning on channel=20...[NODE]
asn=1713 	id=3   	Node	scanning on channel=15...[NODE]
asn=1713 	id=10  	Node	scanning on channel=25...[NODE]
asn=1713 	id=4   	Node	scanning on channel=15...[NODE]
asn=1713 	id=5   	Node	scanning on channel=20...[NODE]
asn=1813 	id=4   	Node	scanning on channel=26...[NODE]
asn=1813 	id=5   	Node	scanning on channel=26...[NODE]
asn=1813 	id=3   	Node	scanning on channel=25...[NODE]
asn=1913 	id=10  	Node	scanning on channel=15...[NODE]
asn=1913 	id=5   	Node	scanning on channel=15...[NODE]
asn=2013 	id=5   	Node	scanning on channel=20...[NODE]
asn=2013 	id=3   	Node	scanning on channel=15...[NODE]
asn=2013 	id=7   	Node	scanning on channel=15...[NODE]
asn=2113 	id=3   	Node	scanning on channel=20...[NODE]
asn=2113 	id=7   	Node	scanning on channel=26...[NODE]
asn=2113 	id=10  	Node	scanning on channel=25...[NODE]
asn=2113 	id=4   	Node	scanning on channel=15...[NODE]
asn=2213 	id=4   	Node	scanning on channel=25...[NODE]
asn=2213 	id=5   	Node	scanning on channel=15...[NODE]
asn=2213 	id=10  	Node	scanning on channel=15...[NODE]
asn=2213 	id=7   	Node	scanning on channel=15...[NODE]
asn=2213 	id=3   	Node	scanning on channel=26...[NODE]
asn=2313 	id=3   	Node	scanning on channel=20...[NODE]
asn=2313 	id=10  	Node	scanning on channel=20...[NODE]
asn=2313 	id=5   	Node	scanning on channel=20...[NODE]
asn=2313 	id=4   	Node	scanning on channel=20...[NODE]
asn=2384 	id=7   	Node	add neighbor id=2
asn=2384 	id=7   	Node	Add_route called from ensure neighbor
asn=2384 	id=7   	TSCH	joined/associated at 23.84 on receiving an EB packet from 2[NODE]
asn=2384 	id=7   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=2384 	id=7   	Node	update time source called [NODE]
asn=2384 	id=7   	Main	On new time source method called from NullRouting
asn=2384 	id=7   	TSCH	Orchestra: new time source 2
asn=2384 	id=7   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=2384 	id=7   	Node	Start method called from NullRouting for 7
asn=2384 	id=7   	Node	File Read successfully
asn=2384 	id=7   	Node	File loaded into struct successfully
asn=2384 	id=2   	Main	On tx method called from NullRouting
asn=2413 	id=4   	Node	scanning on channel=25...[NODE]
asn=2413 	id=10  	Node	scanning on channel=25...[NODE]
asn=2513 	id=5   	Node	scanning on channel=15...[NODE]
asn=2513 	id=10  	Node	scanning on channel=20...[NODE]
asn=2613 	id=4   	Node	scanning on channel=20...[NODE]
asn=2613 	id=5   	Node	scanning on channel=26...[NODE]
asn=2613 	id=3   	Node	scanning on channel=26...[NODE]
asn=2713 	id=5   	Node	scanning on channel=20...[NODE]
asn=2713 	id=10  	Node	scanning on channel=25...[NODE]
asn=2713 	id=3   	Node	scanning on channel=25...[NODE]
asn=2813 	id=3   	Node	scanning on channel=26...[NODE]
asn=2813 	id=10  	Node	scanning on channel=26...[NODE]
asn=2813 	id=4   	Node	scanning on channel=25...[NODE]
asn=2813 	id=5   	Node	scanning on channel=26...[NODE]
asn=2913 	id=5   	Node	scanning on channel=25...[NODE]
asn=2913 	id=3   	Node	scanning on channel=20...[NODE]
asn=2913 	id=4   	Node	scanning on channel=26...[NODE]
asn=3001 	id=2   	Node	send keepalive packet to=1[NODE]
asn=3001 	id=2   	Main	On prepare tx packet method called from NullRouting
asn=3010 	id=1   	Node	add neighbor id=2
asn=3010 	id=1   	Node	Add_route called from ensure neighbor
asn=3010 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet[NODE]
asn=3010 	id=2   	Main	On tx method called from NullRouting
asn=3013 	id=4   	Node	scanning on channel=15...[NODE]
asn=3013 	id=5   	Node	scanning on channel=15...[NODE]
asn=3013 	id=3   	Node	scanning on channel=25...[NODE]
asn=3013 	id=10  	Node	scanning on channel=20...[NODE]
asn=3113 	id=5   	Node	scanning on channel=20...[NODE]
asn=3177 	id=3   	Node	add neighbor id=1
asn=3177 	id=3   	Node	Add_route called from ensure neighbor
asn=3177 	id=3   	TSCH	joined/associated at 31.77 on receiving an EB packet from 1[NODE]
asn=3177 	id=3   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=3177 	id=3   	Node	update time source called [NODE]
asn=3177 	id=3   	Main	On new time source method called from NullRouting
asn=3177 	id=3   	TSCH	Orchestra: new time source 1
asn=3177 	id=3   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=3177 	id=3   	Node	Start method called from NullRouting for 3
asn=3177 	id=3   	Node	File Read successfully
asn=3177 	id=3   	Node	File loaded into struct successfully
asn=3177 	id=3   	Node	Reading routes for Node 3
asn=3177 	id=3   	Node	Destination = 7, Nexthop = 7
asn=3177 	id=3   	Node	Route added to destination node id: 7 through next hop node id: 7 in the routing table of node: 3
asn=3177 	id=3   	TSCH	Orchestra: child added 7
asn=3177 	id=3   	TSCH	Orchestra: storing mode: add uc cell to 7, timeslot=7
asn=3177 	id=3   	Node	Reading routes for Node 3
asn=3177 	id=3   	Node	Destination = 8, Nexthop = 8
asn=3177 	id=3   	Node	Route added to destination node id: 8 through next hop node id: 8 in the routing table of node: 3
asn=3177 	id=3   	TSCH	Orchestra: child added 8
asn=3177 	id=3   	TSCH	Orchestra: storing mode: add uc cell to 8, timeslot=8
asn=3177 	id=1   	Main	On tx method called from NullRouting
asn=3213 	id=10  	Node	scanning on channel=26...[NODE]
asn=3213 	id=4   	Node	scanning on channel=25...[NODE]
asn=3213 	id=5   	Node	scanning on channel=26...[NODE]
